,index,DATE,DGS1,DGS5,DGS10,DGS30
0,0,2019-09-03,1.72,1.35,1.47,1.95
1,1,2019-09-04,1.69,1.32,1.47,1.97
2,2,2019-09-05,1.73,1.43,1.57,2.06
3,3,2019-09-06,1.73,1.42,1.55,2.02
4,4,2019-09-09,1.74,1.49,1.63,2.11
5,5,2019-09-10,1.81,1.58,1.72,2.19
6,6,2019-09-11,1.79,1.6,1.75,2.22
7,7,2019-09-12,1.82,1.65,1.79,2.22
8,8,2019-09-13,1.88,1.75,1.9,2.37
9,9,2019-09-16,1.86,1.69,1.84,2.31
10,10,2019-09-17,1.87,1.66,1.81,2.27
11,11,2019-09-18,1.87,1.68,1.8,2.25
12,12,2019-09-19,1.88,1.66,1.79,2.22
13,13,2019-09-20,1.84,1.61,1.74,2.17
14,14,2019-09-23,1.81,1.59,1.72,2.16
15,15,2019-09-24,1.78,1.52,1.64,2.09
16,16,2019-09-25,1.82,1.6,1.73,2.18
17,17,2019-09-26,1.79,1.59,1.7,2.15
18,18,2019-09-27,1.74,1.56,1.69,2.13
19,19,2019-09-30,1.75,1.55,1.68,2.12
20,20,2019-10-01,1.73,1.51,1.65,2.11
21,21,2019-10-02,1.67,1.43,1.6,2.09
22,22,2019-10-03,1.58,1.34,1.54,2.04
23,23,2019-10-04,1.58,1.34,1.52,2.01
24,24,2019-10-07,1.64,1.38,1.56,2.05
25,25,2019-10-08,1.62,1.36,1.54,2.04
26,26,2019-10-09,1.59,1.4,1.59,2.08
27,27,2019-10-10,1.63,1.48,1.67,2.16
28,28,2019-10-11,1.67,1.59,1.76,2.22
29,30,2019-10-15,1.65,1.59,1.77,2.23
30,31,2019-10-16,1.59,1.57,1.75,2.23
31,32,2019-10-17,1.59,1.57,1.76,2.24
32,33,2019-10-18,1.58,1.56,1.76,2.25
33,34,2019-10-21,1.59,1.61,1.8,2.28
34,35,2019-10-22,1.59,1.6,1.78,2.26
35,36,2019-10-23,1.58,1.58,1.77,2.25
36,37,2019-10-24,1.59,1.58,1.77,2.26
37,38,2019-10-25,1.6,1.62,1.8,2.29
38,39,2019-10-28,1.6,1.66,1.85,2.34
39,40,2019-10-29,1.59,1.66,1.84,2.33
40,41,2019-10-30,1.59,1.61,1.78,2.26
41,42,2019-10-31,1.53,1.51,1.69,2.17
42,43,2019-11-01,1.53,1.55,1.73,2.21
43,44,2019-11-04,1.56,1.6,1.79,2.27
44,45,2019-11-05,1.62,1.66,1.86,2.34
45,46,2019-11-06,1.58,1.63,1.81,2.3
46,47,2019-11-07,1.58,1.74,1.92,2.4
47,48,2019-11-08,1.58,1.74,1.94,2.43
48,50,2019-11-12,1.58,1.73,1.92,2.39
49,51,2019-11-13,1.57,1.69,1.88,2.36
50,52,2019-11-14,1.55,1.63,1.82,2.31
51,53,2019-11-15,1.54,1.65,1.84,2.31
52,54,2019-11-18,1.54,1.63,1.81,2.3
53,55,2019-11-19,1.54,1.63,1.79,2.26
54,56,2019-11-20,1.54,1.58,1.73,2.2
55,57,2019-11-21,1.55,1.62,1.77,2.24
56,58,2019-11-22,1.56,1.62,1.77,2.22
57,59,2019-11-25,1.58,1.62,1.76,2.21
58,60,2019-11-26,1.59,1.58,1.74,2.18
59,61,2019-11-27,1.6,1.63,1.77,2.19
60,63,2019-11-29,1.6,1.62,1.78,2.21
61,64,2019-12-02,1.6,1.65,1.83,2.28
62,65,2019-12-03,1.57,1.54,1.72,2.17
63,66,2019-12-04,1.56,1.6,1.77,2.22
64,67,2019-12-05,1.56,1.62,1.8,2.24
65,68,2019-12-06,1.57,1.67,1.84,2.29
66,69,2019-12-09,1.56,1.67,1.83,2.27
67,70,2019-12-10,1.56,1.68,1.85,2.26
68,71,2019-12-11,1.55,1.64,1.79,2.23
69,72,2019-12-12,1.55,1.73,1.9,2.32
70,73,2019-12-13,1.54,1.66,1.82,2.26
71,74,2019-12-16,1.54,1.72,1.89,2.3
72,75,2019-12-17,1.53,1.71,1.89,2.31
73,76,2019-12-18,1.54,1.74,1.92,2.35
74,77,2019-12-19,1.52,1.73,1.92,2.35
75,78,2019-12-20,1.52,1.73,1.92,2.34
76,79,2019-12-23,1.53,1.75,1.93,2.35
77,80,2019-12-24,1.53,1.72,1.9,2.33
78,82,2019-12-26,1.53,1.72,1.9,2.33
79,83,2019-12-27,1.51,1.68,1.88,2.32
80,84,2019-12-30,1.57,1.68,1.9,2.34
81,85,2019-12-31,1.59,1.69,1.92,2.39
82,87,2020-01-02,1.56,1.67,1.88,2.33
83,88,2020-01-03,1.55,1.59,1.8,2.26
84,89,2020-01-06,1.54,1.61,1.81,2.28
85,90,2020-01-07,1.53,1.62,1.83,2.31
86,91,2020-01-08,1.55,1.67,1.87,2.35
87,92,2020-01-09,1.54,1.65,1.85,2.38
88,93,2020-01-10,1.53,1.63,1.83,2.28
89,94,2020-01-13,1.53,1.65,1.85,2.3
90,95,2020-01-14,1.53,1.63,1.82,2.27
91,96,2020-01-15,1.54,1.6,1.79,2.23
92,97,2020-01-16,1.54,1.63,1.81,2.26
93,98,2020-01-17,1.56,1.63,1.84,2.29
94,100,2020-01-21,1.54,1.57,1.78,2.23
95,101,2020-01-22,1.55,1.57,1.77,2.22
96,102,2020-01-23,1.55,1.55,1.74,2.18
97,103,2020-01-24,1.55,1.51,1.7,2.14
98,104,2020-01-27,1.53,1.44,1.61,2.05
99,105,2020-01-28,1.53,1.47,1.65,2.1
100,106,2020-01-29,1.51,1.41,1.6,2.05
101,107,2020-01-30,1.48,1.39,1.57,2.04
102,108,2020-01-31,1.45,1.32,1.51,1.99
103,109,2020-02-03,1.46,1.35,1.54,2.01
104,110,2020-02-04,1.48,1.42,1.61,2.08
105,111,2020-02-05,1.49,1.46,1.66,2.14
106,112,2020-02-06,1.51,1.45,1.65,2.11
107,113,2020-02-07,1.49,1.41,1.59,2.05
108,114,2020-02-10,1.45,1.38,1.56,2.03
109,115,2020-02-11,1.48,1.4,1.59,2.05
