,DGS1,DGS5,DGS10,DGS30,DATE
0,-0.100000024,0.00999999,0.06999993,0.089999914,2019-09-03
1,-0.100000024,0.07999992,0.120000005,0.109999895,2019-09-04
2,-0.100000024,0.05000007,0.099999905,0.10000014,2019-09-05
3,-0.060000062,0.17000008,0.21000004,0.20000005,2019-09-06
4,-0.09000003,0.100000024,0.13999999,0.120000124,2019-09-09
5,-0.21999991,-0.00999999,0.029999971,0.03999996,2019-09-10
6,-0.19999993,-0.029999971,0.00999999,0.01999998,2019-09-11
7,-0.24000001,-0.09000003,-0.029999971,0.029999971,2019-09-12
8,-0.28999996,-0.13999999,-0.100000024,-0.089999914,2019-09-13
9,-0.26999998,-0.09000003,-0.060000062,-0.049999952,2019-09-16
10,-0.28999996,-0.07999992,-0.03999996,-0.01999998,2019-09-17
11,-0.27999997,-0.099999905,-0.029999971,0.00999999,2019-09-18
12,-0.27999997,-0.03999996,0.00999999,0.06999993,2019-09-19
13,-0.24000001,0.049999952,0.110000014,0.16999984,2019-09-20
14,-0.21999991,0.06999993,0.120000005,0.16999984,2019-09-23
15,-0.18999994,0.09000003,0.13999999,0.17000008,2019-09-24
16,-0.29000008,-0.09000003,-0.03999996,-0.00999999,2019-09-25
17,-0.26,-0.04000008,0.029999971,0.059999943,2019-09-26
18,-0.18000007,0.04000008,0.099999905,0.13999987,2019-09-27
19,-0.13,0.110000014,0.18000007,0.22000003,2019-09-30
20,-0.14999998,0.120000005,0.15999997,0.19000006,2019-10-01
21,-0.089999914,0.31000006,0.31999993,0.31000018,2019-10-02
22,0.0,0.39999998,0.4000001,0.3900001,2019-10-03
23,0.0,0.39,0.39999998,0.3800001,2019-10-04
24,-0.06999993,0.31000006,0.32000005,0.30999994,2019-10-07
25,-0.07000005,0.26999998,0.2800001,0.26999998,2019-10-08
26,-0.05000007,0.25,0.25,0.23000002,2019-10-09
27,-0.09000003,0.14999998,0.13999999,0.13999987,2019-10-10
28,-0.13,0.03999996,0.029999971,0.03999996,2019-10-11
29,-0.110000014,-0.00999999,-0.03999996,-0.029999971,2019-10-15
30,-0.04000008,0.049999952,0.01999998,0.00999999,2019-10-16
31,-0.03000009,0.049999952,0.00999999,-0.01999998,2019-10-17
32,0.0,0.060000062,0.0,-0.03999996,2019-10-18
33,0.0,-0.029999971,-0.059999943,-0.099999905,2019-10-21
34,0.00999999,0.029999971,-0.00999999,-0.06999993,2019-10-22
35,0.01999998,0.03999996,0.00999999,-0.03999996,2019-10-23
36,0.00999999,0.06999993,0.060000062,0.01999998,2019-10-24
37,-0.029999971,-0.08000004,-0.07999992,-0.119999886,2019-10-25
38,-0.04000008,-0.059999943,-0.08000004,-0.119999886,2019-10-28
39,-0.03000009,-0.03999996,-0.04000008,-0.089999914,2019-10-29
40,-0.01999998,0.059999943,0.060000062,0.029999971,2019-10-30
41,0.029999971,0.15999997,0.13999999,0.099999905,2019-10-31
42,0.029999971,0.13,0.120000005,0.049999952,2019-11-01
43,-0.00999999,0.03999996,0.0,-0.03999996,2019-11-04
44,-0.07000005,0.07000005,0.03999996,-0.01999998,2019-11-05
45,-0.04000008,0.029999971,0.01000011,-0.03999996,2019-11-06
46,-0.04000008,-0.01999998,-0.029999971,-0.10000014,2019-11-07
47,-0.05000007,-0.029999971,-0.05000007,-0.120000124,2019-11-08
48,-0.04000008,0.00999999,0.0,-0.0400002,2019-11-12
49,-0.05000007,0.03999996,0.03999996,-0.00999999,2019-11-13
50,-0.029999971,0.100000024,0.099999905,0.029999971,2019-11-14
51,-0.00999999,0.100000024,0.089999914,0.03999996,2019-11-15
52,-0.00999999,0.09000003,0.09000003,0.029999971,2019-11-18
53,-0.00999999,0.09000003,0.110000014,0.06999993,2019-11-19
54,-0.029999971,0.099999905,0.14999998,0.119999886,2019-11-20
55,0.0200001,0.059999943,0.13,0.099999905,2019-11-21
